X,Y,time,,,,
-0.8906,-0.5431,1.8547359,,,,
-0.8227,-0.5408,1.8657367,,,,
-0.7454,-0.5366,1.8778286,,,,
-0.6601,-0.532,1.8898316,,,,
-0.5685,-0.5265,1.9024306,,,,
-0.471,-0.5204,1.9144307,,,,
-0.3718,-0.5163,1.9264293,,,,
-0.2739,-0.5144,1.9384311,,,,
-0.1734,-0.5149,1.9504296,,,,
-0.0748,-0.516,1.9624309,,,,
0.0172,-0.5178,1.9743921,,,,
0.1059,-0.5196,1.9853912,,,,
0.1948,-0.5233,1.9973917,,,,
0.3044,-0.5478,2.0100181,,,,
0.3869,-0.5445,2.0220178,,,,
0.4676,-0.5423,2.0340182,,,,
0.5654,-0.5246,2.046018,,,,
0.6466,-0.5239,2.0580182,,,,
0.7276,-0.5234,2.0700181,,,,
0.8059,-0.5243,2.0818247,,,,
0.8809,-0.5278,2.093825,,,,
0.9697,-0.5141,2.1058247,,,,
1.0349,-0.5162,2.1178247,,,,
1.0966,-0.5198,2.129825,,,,
1.1569,-0.5248,2.1418249,,,,
1.2176,-0.5308,2.153824,,,,
1.2949,-0.5562,2.1648237,,,,
1.3574,-0.5645,2.177384,,,,
1.4191,-0.5721,2.1893311,,,,
1.4773,-0.5805,2.2016235,,,,
1.5352,-0.5897,2.2132027,,,,
1.5905,-0.6008,2.2247783,,,,
1.6459,-0.6147,2.2367788,,,,
1.7111,-0.6199,2.2495238,,,,
1.7702,-0.6357,2.2607591,,,,
1.8342,-0.6517,2.2726156,,,,
1.9004,-0.6698,2.2851484,,,,
1.9693,-0.6918,2.2971474,,,,
2.0377,-0.7146,2.3088109,,,,
2.1189,-0.7571,2.3207882,,,,
2.1765,-0.7788,2.3330844,,,,
2.2344,-0.804,2.3449955,,,,
2.2926,-0.8308,2.3569947,,,,
2.3479,-0.858,2.369132,,,,
2.4044,-0.8855,2.3802336,,,,
2.4585,-0.9105,2.3922338,,,,
2.5063,-0.9265,2.4042344,,,,
2.5475,-0.9328,2.4169528,,,,
2.5862,-0.9356,2.4289527,,,,
2.6194,-0.9404,2.439953,,,,
2.6519,-0.9423,2.4519533,,,,
2.6794,-0.9495,2.4639531,,,,
2.6981,-0.9644,2.4759546,,,,
2.7068,-0.9714,2.4880755,,,,
2.711,-0.9795,2.5000763,,,,
2.7163,-0.988,2.5126881,,,,
2.7235,-0.9972,2.5243416,,,,
2.7238,-1.0055,2.5358803,,,,
2.7155,-1.0149,2.5478724,,,,
2.6993,-1.0258,2.5605371,,,,
2.6792,-1.038,2.5725369,,,,
2.6556,-1.0488,2.5844688,,,,
2.6262,-1.0635,2.5964673,,,,
2.5949,-1.0801,2.6084678,,,,
2.5629,-1.0968,2.6194681,,,,
2.5311,-1.1066,2.6323533,,,,
2.5075,-1.1185,2.643353,,,,
2.4863,-1.1282,2.6553531,,,,
2.4713,-1.1295,2.6673529,,,,
2.4589,-1.1309,2.6794108,,,,
2.4533,-1.1314,2.6914102,,,,
2.451,-1.1338,2.7034788,,,,
2.4503,-1.1329,2.7154794,,,,
2.4499,-1.1301,2.7274796,,,,
2.4538,-1.1267,2.7394789,,,,
2.4656,-1.1213,2.7514802,,,,
2.4868,-1.1145,2.7634788,,,,
2.5112,-1.1043,2.7754797,,,,
2.5388,-1.0977,2.7871964,,,,
2.5612,-1.0891,2.799196,,,,
2.5929,-1.0755,2.8111958,,,,
2.6198,-1.0736,2.8231965,,,,
2.6537,-1.0715,2.8351965,,,,
2.6927,-1.0615,2.847196,,,,
2.7221,-1.0606,2.8591958,,,,
2.7507,-1.0606,2.8711964,,,,
2.7811,-1.0608,2.8828348,,,,
2.8128,-1.0632,2.8948349,,,,
2.8427,-1.0664,2.9068346,,,,
2.8764,-1.0712,2.9188353,,,,
2.9156,-1.0748,2.9308348,,,,
2.9641,-1.0869,2.9428346,,,,
3.0025,-1.0871,2.9549673,,,,
3.0383,-1.0865,2.9669683,,,,
3.0796,-1.0895,2.9789684,,,,
3.1301,-1.0922,2.9909676,,,,
3.187,-1.0921,3.0029694,,,,
3.2441,-1.0866,3.0149678,,,,
3.2983,-1.0776,3.0269691,,,,
3.3498,-1.0704,3.0389675,,,,
3.4132,-1.0502,3.0509684,,,,
3.472,-1.0463,3.0629674,,,,
3.5332,-1.045,3.0749673,,,,
3.5874,-1.0456,3.0869677,,,,
3.6379,-1.0527,3.0979672,,,,
3.6721,-1.0496,3.1099674,,,,
3.7013,-1.0492,3.1219682,,,,
3.7332,-1.0515,3.1339667,,,,
3.7671,-1.0526,3.1459672,,,,
3.7991,-1.0511,3.1579679,,,,
3.8417,-1.0385,3.1699675,,,,
3.8741,-1.0338,3.1819669,,,,
3.9079,-1.0252,3.1936929,,,,
3.9393,-1.0145,3.2061828,,,,
3.9625,-1.0043,3.2181675,,,,
3.9803,-0.9979,3.2297318,,,,
3.9993,-0.9937,3.2417322,,,,
4.0275,-0.9899,3.2543373,,,,
4.0476,-0.9888,3.2663382,,,,
4.0662,-0.9893,3.2774449,,,,
4.0841,-0.9891,3.2902755,,,,
4.1024,-0.9885,3.302276,,,,
4.1204,-0.9872,3.3138645,,,,
4.1384,-0.9852,3.3258633,,,,
4.1582,-0.984,3.3378639,,,,
4.1781,-0.9823,3.3498644,,,,
4.1969,-0.9791,3.3618638,,,,
4.2138,-0.9767,3.3739647,,,,
4.2279,-0.9748,3.386068,,,,
4.2364,-0.9703,3.3976473,,,,
4.2453,-0.9692,3.4097652,,,,
4.2547,-0.9675,3.4217645,,,,
4.2616,-0.9594,3.4337651,,,,
4.2646,-0.9467,3.4457652,,,,
4.2675,-0.9269,3.4577656,,,,
4.2707,-0.913,3.4698477,,,,
4.2735,-0.9068,3.4808463,,,,
4.2748,-0.9018,3.4928472,,,,
4.2729,-0.8949,3.5049639,,,,
4.2658,-0.8875,3.5169576,,,,
4.2546,-0.8849,3.5289572,,,,
4.2448,-0.8827,3.540959,,,,
4.2319,-0.8787,3.5529573,,,,
4.2145,-0.8697,3.5649574,,,,
4.1974,-0.8663,3.5771353,,,,
4.1778,-0.8651,3.5891298,,,,
4.1578,-0.8625,3.6011305,,,,
4.1407,-0.8633,3.6124857,,,,
4.124,-0.8646,3.6244848,,,,
4.1081,-0.8661,3.6364858,,,,
4.0867,-0.8723,3.6484854,,,,
4.0639,-0.872,3.6604853,,,,
4.0364,-0.8712,3.6724859,,,,
4.0052,-0.8716,3.6850487,,,,
3.9725,-0.8711,3.6967463,,,,
3.9461,-0.8713,3.7088873,,,,
3.9307,-0.8775,3.7208867,,,,
3.9188,-0.8798,3.7328868,,,,
3.9146,-0.8823,3.7448867,,,,
3.9135,-0.8819,3.7568866,,,,
3.9136,-0.8808,3.7688871,,,,
3.9155,-0.8792,3.7808878,,,,
3.9219,-0.88,3.7928864,,,,
3.9343,-0.8843,3.8038867,,,,
3.9519,-0.887,3.8168865,,,,
3.9691,-0.8879,3.8278868,,,,
3.9821,-0.886,3.8398869,,,,
3.9882,-0.8818,3.8518856,,,,
3.9873,-0.88,3.8638867,,,,
3.9837,-0.8816,3.8758876,,,,
3.9723,-0.8852,3.8878866,,,,
3.9623,-0.8858,3.8998868,,,,
3.948,-0.8848,3.9118872,,,,
3.9281,-0.8818,3.9238862,,,,
3.9063,-0.8783,3.9358863,,,,
3.8825,-0.8746,3.9478869,,,,
3.8525,-0.8703,3.9598868,,,,
3.8188,-0.8641,3.9718868,,,,
3.7909,-0.8595,3.9838869,,,,
3.7646,-0.8514,3.9958861,,,,
3.7377,-0.8425,4.0073721,,,,
3.7114,-0.8347,4.0193722,,,,
3.682,-0.8197,4.031373,,,,
3.6583,-0.8133,4.0433727,,,,
3.6365,-0.8111,4.0553726,,,,
3.6226,-0.8059,4.0673727,,,,
3.6119,-0.7983,4.0793727,,,,
3.6027,-0.7901,4.0913721,,,,
3.5916,-0.7831,4.1033733,,,,
3.5775,-0.7766,4.1153876,,,,
3.5626,-0.7705,4.1273875,,,,
3.5509,-0.7634,4.1393873,,,,
3.5409,-0.756,4.1513868,,,,
3.5343,-0.7468,4.1633864,,,,
3.5284,-0.7386,4.1753863,,,,
3.5129,-0.7203,4.1873864,,,,
3.4995,-0.7105,4.1992521,,,,
3.4836,-0.7031,4.2107849,,,,
