X,Y,time
-0.4553,7.3537,2.1654708
-0.4621,7.336,2.1767716
-0.4694,7.3164,2.1871826
-0.4768,7.2961,2.1992135
-0.4843,7.2755,2.2107328
-0.4918,7.2539,2.2219331
-0.4997,7.2318,2.2324553
-0.5076,7.2097,2.2437857
-0.5147,7.1881,2.2548118
-0.5219,7.1678,2.2663444
-0.5287,7.1486,2.2778555
-0.535,7.1309,2.2889123
-0.5397,7.1156,2.299448
-0.5437,7.1026,2.3108597
-0.5462,7.0929,2.3223305
-0.5464,7.085,2.3337112
-0.5444,7.0802,2.3444435
-0.542,7.0779,2.3558551
-0.5388,7.0776,2.3664866
-0.5352,7.0796,2.3776502
-0.5307,7.0831,2.3887024
-0.525,7.0875,2.4004158
-0.518,7.0923,2.4109668
-0.5106,7.0977,2.4224845
-0.5033,7.1015,2.4335632
-0.4969,7.1048,2.4446572
-0.4904,7.1077,2.4556802
-0.4834,7.1113,2.4670744
-0.4746,7.1164,2.4785877
-0.4638,7.1233,2.4899882
-0.4506,7.1331,2.5005174
-0.4356,7.1461,2.5123753
-0.416,7.1636,2.5231499
-0.3955,7.1845,2.5344018
-0.3742,7.2094,2.5452379
-0.3517,7.238,2.5565356
-0.3282,7.2697,2.5670658
-0.3041,7.3046,2.5785837
-0.2801,7.3419,2.5898344
-0.2572,7.3817,2.6016806
-0.234,7.422,2.6126602
-0.2124,7.4631,2.6238331
-0.192,7.5045,2.6348652
-0.1732,7.5454,2.6462474
-0.1564,7.5855,2.6568419
-0.1432,7.624,2.6684198
-0.1321,7.6613,2.6794748
-0.124,7.6967,2.6906814
-0.1171,7.73,2.7011947
-0.1113,7.7611,2.7126127
-0.1056,7.79,2.7237494
-0.1007,7.8147,2.7348298
-0.0955,7.8362,2.745922
-0.0894,7.8541,2.7576652
-0.0832,7.8676,2.768408
-0.0773,7.8775,2.7795628
-0.0725,7.8829,2.7906359
-0.0689,7.8844,2.8021477
-0.0657,7.8817,2.8131644
-0.0628,7.8753,2.8246765
-0.0596,7.8654,2.8357129
-0.0562,7.8523,2.8459527
-0.0524,7.8366,2.8576182
-0.0487,7.8197,2.8688701
-0.0469,7.8017,2.8804697
-0.0464,7.7826,2.8919541
-0.047,7.7632,2.9027495
-0.0482,7.7429,2.9141778
-0.0497,7.7225,2.9244153
-0.0512,7.7023,2.935762
-0.0522,7.6816,2.9474704
-0.0533,7.6612,2.958528
-0.0546,7.6406,2.9688759
-0.0552,7.6207,2.9810165
-0.0566,7.6011,2.9915461
-0.058,7.5818,3.0030764
-0.0602,7.5626,3.0145926
-0.0634,7.5436,3.025499
-0.0669,7.5244,3.0367072
-0.0693,7.5057,3.0477411
-0.0711,7.4877,3.0587765
-0.0724,7.4707,3.0697172
-0.0747,7.455,3.0816797
-0.0779,7.4415,3.0920432
-0.0818,7.4297,3.1035664
-0.0878,7.4204,3.1151123
-0.0942,7.4134,3.1257588
-0.1011,7.408,3.1369395
-0.1075,7.4047,3.1486695
-0.1135,7.4028,3.1597058
-0.1197,7.402,3.1702381
-0.1258,7.4015,3.1817597
-0.1326,7.4003,3.1928418
-0.1403,7.3987,3.2036009
-0.149,7.3961,3.2149475
-0.1585,7.3924,3.2264583
-0.1682,7.3863,3.2370231
-0.177,7.3805,3.2488233
-0.186,7.3742,3.2599746
-0.1941,7.3679,3.2705005
-0.2028,7.3622,3.2818322
-0.2107,7.3578,3.2938541
-0.2183,7.3534,3.3043912
-0.2254,7.35,3.3159133
-0.2324,7.3486,3.3268766
-0.2393,7.348,3.3375291
-0.246,7.3485,3.3490037
-0.2523,7.3501,3.3601114
-0.259,7.3529,3.371691
-0.2646,7.3569,3.3829086
-0.2693,7.3626,3.3939747
-0.2728,7.3702,3.4055013
-0.2752,7.3785,3.4165698
-0.2769,7.3881,3.426919
-0.2778,7.3978,3.4384443
-0.2788,7.4078,3.450106
-0.2798,7.4182,3.4606204
-0.2808,7.4281,3.4721673
-0.2826,7.4378,3.4831572
-0.2847,7.4459,3.4946862
-0.2865,7.4532,3.5052147
-0.2879,7.4595,3.5167342
-0.2887,7.4646,3.5270315
-0.2882,7.4686,3.5390283
-0.2875,7.4719,3.5497232
-0.2864,7.4742,3.5609521
-0.2855,7.4751,3.57273
-0.2849,7.475,3.5839895
-0.2851,7.4742,3.5945642
-0.2873,7.4719,3.6056961
-0.2889,7.4676,3.6170075
-0.2902,7.4632,3.6285306
-0.2904,7.4559,3.6397414
-0.2909,7.448,3.6502854
-0.2907,7.4389,3.6616329
-0.2912,7.4283,3.6727709
-0.2911,7.4173,3.684011
-0.2916,7.4053,3.6955155
-0.2924,7.3928,3.7064181
-0.2934,7.3793,3.7170802
-0.2941,7.366,3.7285999
-0.2944,7.3521,3.7395309
-0.2945,7.3389,3.7510409
-0.2944,7.3266,3.7620838
-0.2939,7.3152,3.7736183
-0.293,7.3047,3.7846678
-0.2931,7.2956,3.7959815
-0.2935,7.2871,3.8065071
-0.294,7.2803,3.8176892
-0.2951,7.2743,3.8297441
-0.2962,7.2695,3.8399672
-0.2977,7.2656,3.8510438
-0.2977,7.2633,3.862539
-0.2986,7.2622,3.8741327
-0.299,7.2625,3.8846556
-0.3005,7.2626,3.8960065
-0.3019,7.2634,3.9069828
-0.3041,7.2643,3.918925
-0.3063,7.2647,3.9296224
-0.3086,7.2653,3.9408055
-0.3102,7.2651,3.9518105
-0.3112,7.2647,3.9633334
-0.3106,7.2654,3.974847
-0.3097,7.2675,3.9859301
-0.3082,7.2695,3.9964557
-0.3054,7.2734,4.0078169
-0.3016,7.2793,4.0189004
-0.2963,7.2861,4.0299722
