Frequency_X,Amplitude_X,Frequency_Y,Amplitude_Y
0.12493453668456,0.8283248446832541,0.12493453668456,0.14353350288777478
0.24986907336912,0.9291207374192496,0.24986907336912,0.13830550103622039
0.37480361005368,0.49547411315269585,0.37480361005368,0.11706523518884578
0.49973814673824,0.8058465667430653,,
0.6246726834228,1.0,,
0.74960722010736,0.3116304701306232,,
0.87454175679192,0.19383163858467037,,
0.99947629347648,0.18624446915760623,,
1.12441083016104,0.13337699912195947,,
1.2493453668456,0.19434077391860982,,
1.37427990353016,0.11108558040228395,,
